text,label,source
VN mang nặng ơn nước Mỹ đã rộng vòng tay chứa chấp đám thần kinh này.,safe,vihsd
Mấy đứa Haters thế nào củng bảo ghép =))),safe,vihsd
Quay xong tap này quay phim cười ói,safe,vihsd
Cho thằng Ad : chó vẫn sủa và đoàn người vẫn đi ( chắc là ẳng thôi chưa biết sủa đâu ),hate,vihsd
Minh Hải Đều là “con” người chứ không phải người nên mới thế đó,safe,vihsd
Ngọc Trân tự cứu đc rồi 2 ngày là về,safe,vihsd
Bắc Hàn là nghèo bền thật sự,hate,vihsd
Quang Nguyễn Đức tiếp xúc khoảng mười mấy ng á b.. Đc đưa đi cách ly rồi.. Phan thiết bị phong tỏa mấy đoạn đường cơ 😭😥,safe,vihsd
Toàn là xạo lôz :))) sủa ko lại đi block nhau còn bày đặt tự do với chả ngôn lù ngôn luận,hate,vihsd
"12:55 sau buổi phỏng vấn này tôi sẽ múa 1 bài võ cho...choX3,14 ... dập đĩa dữ 😂😂😂",safe,vihsd
có ông nào kí dự án này chưa =)) bắt tay vào mà code đi không không kịp quản lý bây h =)),safe,vihsd
Kha Nguyễn cho xin video,safe,vihsd
Hà Trần :)),safe,vihsd
ATM Cao Lãnh,safe,vihsd
ad óc chó,hate,vihsd
"Trần Duy Trường Các Táo năm nay cầm trừng trị, tốc biến, thanh tẩy, cấm trụ, tốc hành kìa 🤣",safe,vihsd
Thích anh Châu dễ sợ,safe,vihsd
Like cho những câu Ns của chị,safe,vihsd
Kiều An bài này là bài quảng cáo mà,safe,vihsd
Ổng Vui mà bạn,safe,vihsd
Cực kì thuyết phục!!!,safe,vihsd
dr a oi,safe,vihsd
hà lội không vội được đâu,safe,vihsd
Dell còn gì để nói :3,toxic,vihsd
nhanh chóng vãi lồng ! cá chết 3 tuần mới xách đít đi lấy mẫu !,toxic,vihsd
Cái miệng linh cá lóc  ik hệt cái lồn,hate,vihsd
Phong Hnt 😒,safe,vihsd
Láo,toxic,vihsd
"Trend này ở Việt Nam! Nếu t nhớ k nhầm là từ thời còn bé tý rồi. Khi các ông các bác hỏi: Cái B*m đâu? Như nào, như nào. Lúc đó t cũng đã dơ cái “cánh hoa anh đào” đó lên và trả lời hồn nhiên là: “đây nàyyyyy”",safe,vihsd
"chửi cái qq gì, ko làm đúng quy trình thì bị loại đúng rồi",toxic,vihsd
Thứ bóng dơ,toxic,vihsd
Rồi m sẽ hiểu ra thôi,safe,vihsd
Sợ run người 🙂,safe,vihsd
Nguyễn Thị Duyên cậu fan mixi luôn à.. yêu thế 🤧😁,safe,vihsd
má ba đẹp mà chử hay quá,safe,vihsd
Chết đi còn hơn sống,suicide,manual_augmentation
Ba má đụ chi cho uổng công uổng nghệ uổng nghễ quần quân uổng công tuột quần tèo lên tuột xuống banh loz đau loz đẻ lớn chơi trò gì md ghê. Iu minh Hiếu,hate,vihsd
Lê Phát Nguyen Cao Cuong Khoai Lang Phan Lương Trường Linh Chang Chang nhớ nha :))),safe,vihsd
Giúp người  nghèo khổ là phúc lắm chị ạ.,safe,vihsd
🦔,safe,vihsd
Moi lam tu thien.ma chui nguoi ta.coi chug chet đoc vy hen con beđe mat nhu đau trau,hate,vihsd
Có mấy thằng cộng nô lên mạng đọc báo lề phải cũng tin răm rắp,hate,vihsd
- hơi ngược sáng nhưng mà không sao =))),safe,vihsd
anh ơi crush bảo m thích t vì điều gì thì nên trả lời sao cho tinh tế ạ =]],safe,vihsd
@Em Gái Có Cu chuyện gì z mn????...,safe,vihsd
"Thấy tập này đáng xem nhất luôn á. Chúc cô luôn luôn vui vẻ, mãi trẻ đẹp.",safe,vihsd
em tú ánh sáng :))),safe,vihsd
Sat mui vo lon no co hieu no vua sau vua nao yeu nua,hate,vihsd
Đỉnh ghê,safe,vihsd
Tonight phodiwalk nha mah friend Thục Yến :))))))))),safe,vihsd
Ta đã là người tạo ra cái bo cho team! Và giải sắp tới ta sẽ ngồi dưới vẽ bo cùng ông bạn già CHIP =))),safe,vihsd
Lúc đi thì trắng tinh lúc về thì lại như anh da đen :vv,safe,vihsd
Tuyển ny nghe,safe,vihsd
Tối ngủ đất a nhá,safe,vihsd
Cái kiểu gì v Nguyễn Thanh Cường,safe,vihsd
Và cô viết tâm thư,safe,vihsd
Có gì đâu rần rần 🙂,safe,vihsd
Vcc,toxic,vihsd
Vài bữa nữa cty Lục Tỉnh ra thông báo xin lỗi Xanh Bôn thì lại hài vcl 😂,toxic,vihsd
Thpt bình thủy chưa cho nghỉ :),safe,vihsd
Áo tay dài có phải anh tôi đâu,safe,vihsd
Em thắc mắc bấy lâu là lúc nhỏ anh được gọi là độ cu hay cu độ nhỉ?,safe,vihsd
Cố lên cố lên,safe,vihsd
Cô đẹp quá. Khánh Chi cười nhẹ nhẹ nhìn đáng yêu dễ sợ,safe,vihsd
Người mù =)),safe,vihsd
Nhà mình ở gần nhà của cô minh hiếu,safe,vihsd
thí sinh Thanh Độ đã hoàn thành suất sắc gói 80 điểm,safe,vihsd
Xuân Quảng tui chết rồi,safe,vihsd
IS nghèo bán sim mua boom :'(,safe,vihsd
Nhớ khi xưa Độ chở Trang trên chiếc xe đạp cong,safe,vihsd
Hà Nhật đang ở nhà ko thì đi đi :))),safe,vihsd
Cực kỳ thuyết phục =)))),safe,vihsd
Thuy Le :)),safe,vihsd
LinDa phải nể Minh Hiếu chứ cái dòng bà Trần Đòn chỉ đàng em thôi bầy đặc lên tiếng🤮,safe,vihsd
Lê Huyền má quá đáng ghê á :)))))),safe,vihsd
"Bọn nó chọn tôm hùm, cá mú khơi ... nó đéo chọn cá gần bờ",toxic,vihsd
Thảo Chăm tôn hẳng con cu tí hon của anh tịp,hate,vihsd
Linkkk,safe,vihsd
"Dcm chông này đến Tăng còn đứt xích, chứ nói gì lốp",safe,vihsd
Thằng zô zăn hoá,hate,vihsd
Nó lại hợp lí vlone,safe,vihsd
Sếp t cũng v vẫn muốn giữ ng thay vì xa thải bớt,safe,vihsd
"Đây là bài cmt tự động để xin like trắng trợn thích thì like ko thích thì like , ok",safe,vihsd
Chui háng bố độ 😂😂😂,safe,vihsd
Oke abe,safe,vihsd
sức hút,safe,vihsd
Cũng hên vãiiiiiii 😆,safe,vihsd
"Lúc đi không có màu , lúc về có màu 🤣🤣",safe,vihsd
"nhạc jack nó mang tính hoài cổ, còn hoaprox mang nặng hơi thở của thời đại mới, không hay là phải",safe,vihsd
Hiển Trọng Nguyễn Thanh Tuấn,safe,vihsd
Dễ thương gì đâu,safe,vihsd
"Xin hỏi ké ngoài lề chút thưa tiên tri Trần Dần(sorry anh Lân):”ở vũ trụ trễn, ông có thấy mọc ra một cái ...thiền am nào không ạ,độ từ tết Dương lịch đến giờ?.Nếu có,tiên tri nên ghé chơi vì có 1 giáo chủ râu dài ở đó sẽ tươi cười  hồ hởi nghênh tiếp bạn hiền,có dàn nhạc bolero chào ông đó ạ!”😁😋😂👏",safe,vihsd
tren tuy ms ở hàn vs tên gọi cánh cmn hoa nhưng ở vn nó đã là trend từ thời ơ cmn kìa vs tên gọi lá cmn mít :3,safe,vihsd
Má. Tục vl,toxic,vihsd
1 từ: cút🖕🏻,safe,vihsd
Lại một vụ ăn chia đéo công bằng :))),safe,vihsd
Làm sao thế này ?,safe,vihsd
Cục vàng của con là xuất sắc,safe,vihsd
"Tôi chỉ có 1 cmt: ngay cả who cũng ko hẳn là đúng hay tin đc 100%. Đúng sai bạn cũng ko quyết định được, đăng sau câu chuyện bạn cũng không chắc đc...nói như bạn vì nước ta nghèo nên phải dùng loại vắc xin này thì lại quay lại ban đầu câu chuyện, dân",safe,vihsd
Nhìn giống ba nó cực kì... mà đẹp trai hơn ba nó,safe,vihsd
tự nhiên lại nghĩ đến cái ngày a nghỉ sờ chim,safe,vihsd
Cặc to vãi chưởng,nsfw,manual_augmentation
Con rắn xe cứu thương đấy :)),safe,vihsd
Nguyễn Minh Thu đây mới gọi là make up artist :))),safe,vihsd
Pótay. Cơm,safe,vihsd
Nguyễn Thị Hồng Ngọc bên trái là uốn r,safe,vihsd
Dcm ăn pải lốp lái thì giết con nhà ng ta ah chó đẻ,hate,vihsd
Ngứa dái chưa kkkkk,toxic,vihsd
chi co du luan vien viet nam don mathoi,safe,vihsd
Huỳnh Tú lầy,safe,vihsd
Miền Tây rặc là đây. Thiệt thà có sao nói dị,safe,vihsd
Chu Tiến Đạt gốc bn ấy tuyến quang k là ng miền ngoài chứ là gì,safe,vihsd
ai noi gi ke chị kim  bị liệu giống mẹ mình rat vui,safe,vihsd
Đm m hồ khang ạ,hate,vihsd
Một mình chị nhung lây mẹ bệnh cho cả nước,hate,vihsd
Ô này xin làm lảnh đạo chỉ nhận thù lao $1/1 năm(đở tốn lắm đó nhe.,safe,vihsd
đc vl a ui,safe,vihsd
Chuì lol là chui gi vaÿ?,toxic,vihsd
Hơi rộng,safe,vihsd
Đồn ý kiến vs bác thớt.Thằng đó tống tiền đích cmn thực r ấy chứ.Cho vào tù nhanh hộ cái :)),hate,vihsd
Chấp nhận add em dới <33333,safe,vihsd
"sai luật thì v thôi , cái gì đúng thì nói nhà nhóc",safe,vihsd
Lương 7-8tr mà ăn mì khổ thế anh :))))) có sương sương con cua hoàng đế thôi à :)))),safe,vihsd
Nhìn là muốn thông đít anh ba ghê dị á kkkk,safe,vihsd
Dương Giang Quỳnh chúc mừng Kristen. Quan trọng nhất đời là sự ổn định. Dở đều 😌,safe,vihsd
Tự nhiên được làm fan cứng🤭,safe,vihsd
Thế tình hình bình quân 5s anh tôi bị giật một phát à ?,safe,vihsd
Dễ thương hết sức,safe,vihsd
200.000 hộp thuốc giết người.,toxic,vihsd
Thu Hít ko phải kênh của jack rồi,safe,vihsd
Huy Phạm đề nghị anh xuất trình giấy tờ hợp tác làm việc,safe,vihsd
Vấn đề là cho tiền ng nghèo thỳ lấy đâu ra tiền cho các bạn ý đút túi🤗🤗,hate,vihsd
Mở mồm ra chửi Bắc kỳ rồi lại bị mấy anh Bắc tìm thôi,hate,vihsd
Phường tao cũng thế.,safe,vihsd
rất chi đẹp trai ❤️,safe,vihsd
mình nghe nói corona lây qua đường sách vở mà trường mình vẫn học,safe,vihsd
Xài hàng Mỹ thì bản thân ng lính cũng yên tâm chiến đấu. Nghe a e đi bộ đội vê kể bảo pháo của Tàu toàn tự bắn vào quân mình nên hay có chiến sỹ tự hy sinh lắm. Kkk,hate,vihsd
Tại chị Nhung Dung dăng dung dẻ mà mình phải đeo khẩu trang 😏,safe,vihsd
Bả không biết người ta mà bả chửi như đúng rồi dị á. Mãi mãi fan cô hiếu,safe,vihsd
Bố yêu dz lắm tym tym❤️,safe,vihsd
"Nguyễn Tuấn Hiệp , nhưng thực sự nhạc nhẽo đéo nghe nổi hết 1phút =))))",toxic,vihsd
Theo em nghĩ mỗi góc anh phải treo thêm 1 quả chanh nó mới sợ,safe,vihsd
"Năm nay trường em không còn ""Ôi hàng cây xanh thắm"" nữa anh ưi 🤣🤣🤣",safe,vihsd
Clip này lâu rồi,safe,vihsd
Khi K còn cs. ĐMCS,hate,vihsd
Hahaah,safe,vihsd
Tuấn Nguyễn cẩn thận nha,safe,vihsd
Chi dep lam,safe,vihsd
3166:20:00,safe,vihsd
Nếu là sela thì mọi chuyện sẽ k dừng lại ở đó ❤️,safe,vihsd
Vậy ? Cái tiền hỗ trợ này sẽ vào túi ai ? Túi thằng xin hả ?,safe,vihsd
"Sau những pha bê đê rồi bị bắt nạt,.... thì đây là lần đầu tiên thấy a độ đẹp trai cool ngầu vậy :))",safe,vihsd
thấy quốc sư vẫn ổn là yên tâm dùi.,safe,vihsd
Có vẻ là người nổi tiếng :v,safe,vihsd
bả chửi người ta mà cái mặt bả hớn hở làm như zui lắm 🙄🙄🙄 nghiệp quật là có thật,hate,vihsd
4 năm nữa là sáp nhập nhá,safe,vihsd
Mình  hỏi  thử  tý  haa bạn  mc nam này  có  PHẢI  hai phái  k hiii,safe,vihsd
Qc cl à đm con yến nguyễn,hate,vihsd
Cảm ơn em. ❤,safe,vihsd
Thanh Trẻ Trâu đm :)),hate,vihsd
Nói chz xàm lol,toxic,vihsd
Phạm Xuân Huy không có ý gì nhưng cái nào nhìn cũng trẩu vl 😆😂,toxic,vihsd
cái gì thế :)),safe,vihsd
Sao cai mieng no xau du vay.,hate,vihsd
Chị ba là cành vàng lá ngọc,safe,vihsd
Quá toang luôn zui,safe,vihsd
"Năm ngoái thì vườn rau Lộc Hưng. Năm nay tới Biên Hoà. Nếu dân Việt Nam không đoàn kết, đồng lòng như dân Hồng Kông. Cuối cùng sẽ không có đất để chôn thân. Vì CS sẽ giao hết cho tầu cộng rồi hạ cánh an toàn ở nước ngoài. Người kế tiếp mất nhà.. chính là bạn.",hate,vihsd
Vui vẻ k quạo😌,safe,vihsd
doanh nhân thành đạt,safe,vihsd
chung no ngam suong het roi...,safe,vihsd
Kh thích xem nono,safe,vihsd
Ba noi oi ng ta lay ba ra lam tro he.cho ba khau nghiep.tuog dau ba hay lam ha.,hate,vihsd
Giàu quá mà giựt tiền MINH HIẾU,safe,vihsd
đ nhặt đc mồm với nỗi nhục của bạn này :v,toxic,vihsd
Hay quá thầy ơiiiii,safe,vihsd
sao hồi lần chị chị em em bây h tan rã rồi,safe,vihsd
"Chiều nay 10/3, Bộ Y tế công bố thêm 1 ca nhiễm Covid-19 ở Việt Nam, nâng tổng số ca nhiễm Covid-19 ở Việt Nam lên 33 ca.",safe,vihsd
"Nếu đây là thày giáo thật thì có lẽ cần phải đi khám bác sĩ, đầu óc ông này đang có vấn đề.",hate,vihsd
Cởi bố ra cho rồi ngứa mắt á🤦‍♀️,toxic,vihsd
Dám đốc Vũ Hoàng Lân sao serious quá zậy,safe,vihsd
Nguyễn Thanh Thúy chị thuý add fb em với :((,safe,vihsd
Chúng xây tượng đài nhiều hơn trường học.,hate,vihsd
"12 năm tạm giam - ai đền cho Hải, bao nhiêu có thể bù đắp cho tổn thất về tinh thần và sức khỏe, tuổi xuân, trí lực mà cái phòng giam đó lấy đi.",safe,vihsd
Đổi màu từ đỏ đậm thành nhạt hơn vì sương gió ! Nói đúng đấy chứ,safe,vihsd
Tiền mua sữa tùng sói mang đi chơi gái hết r à,safe,vihsd
Kiều Trinh cho em biết mùi chặt heo ngược khác ăn tiền là gì đi chứ chưa chi chặt 3 con heo từ chuồn tới cơ rầu quá,safe,vihsd
Hahaaa,safe,vihsd
"vừa share song thấy đồng nghiệp có tin nhắn nhận lương hết r,’mà mk chưa thấy đâu🥴",safe,vihsd
Bảo Bảo thời gian trôi thật chậm,safe,vihsd
Nhình anh quay phim đẹp trai quá. Lím lím gì vạy,safe,vihsd
Trường hợp này nên tử hình,safe,vihsd
Nhà nước phải xây thêm nhà nghỉ cách ly để người ta còn đủn nhau trong lúc chờ kết quá,safe,vihsd
NgPh Hoàng tui xin video,safe,vihsd
cực kì thuyết phục abe,safe,vihsd
cái loai pe de thiet thoi nam,toxic,vihsd
