text,label,source
Anh cho hỏi tối nay bắn đúng ko ..... Mấy h vậy mấy bác,safe,vihsd
Để tưởng nhớ ơn đảng mình xin gửi tặng mấy bạn 1 bài hát,safe,vihsd
ủa khánh là ca sĩ hả mọi người 😽,safe,vihsd
"chuyen thuong ma, co gi hot :|, cai toi la do ko tim hieu ki",safe,vihsd
Chơi dream vẫn gặp ABE😀,safe,vihsd
Sống chậm thoii các bạn 🙁,safe,vihsd
Kì này toang rồi 😂,safe,vihsd
Chúc e bình an,safe,vihsd
"Đã là người có tiền thì đi du lịch cái lúc k có dịch thì đi đi, đến lúc có dịch thì lại đéo hiểu luôn",hate,vihsd
O DOI la vay luc nguoi ta ha Minh van con thi  chuoi nguoi ta cang ngay cang manh Bay  gio no tuc roi no quay Lai no can cang nhieu hon xua   nghe Cho da tai nhaoi nguoi that la  mat the dien cua nguoi vn  Bo tay  ban thieu,toxic,vihsd
"Và người dân nghèo_trẻ em,cụ già không đc hưởng ASXH",hate,vihsd
Thiếu bóng dáng cô Đẩu.,safe,vihsd
Xin thành kính phân ưu cùng gia quyến. Cầu Thầy sớm vân du tiên cảnh .,safe,vihsd
Tao sẽ chém mày ra làm mấy khúc,violence,manual_augmentation
Quẩy lên đi ae ưi 😁,safe,vihsd
Dell biết nói j hơn..,safe,vihsd
Sục cặc cho anh đi,nsfw,manual_augmentation
Biệt tài trả lời xong chẳng biết trần dần nói gì. Vũ Hoàng Lân thiếu người để kiếm viu đi phỏng vấn người điên.,hate,vihsd
Cao Đức Huy :)),safe,vihsd
Phan Mạnh Cường một học sinh ở thủ lô Hà Lội vừa cho biết ý kiến,safe,vihsd
Nguyễn Châu Gia Bảo hiểu làm gì cho mệt thấy nó ngu đến vậy thì ai đâu hiểu nổi,hate,vihsd
Tôi muốn tự tử quá,suicide,manual_augmentation
Chú trung đầu L chứ chú tí đầu lân clg 🤣,hate,vihsd
Nhảy hết cả chổ tao rồi tao ngồi góc nào đờn,safe,vihsd
" Non xanh mấy độ trắng răng mấy kì => Quốc kì không đổi được => Câu cuối của Sấm Trạng "" Trong bản Hương Sơn Quốc Ngữ """,safe,vihsd
Thân gửi anh,safe,vihsd
Tấu hài cực mạnh :)),safe,vihsd
Thứ dô diên,hate,vihsd
À thế bạn ý hát bài j jui có ai giới thiệu cho mình đc ko. Lâu jui mình chẳng nghe bài hát mới nào cả,safe,vihsd
"1 là giọt nước ngọt, 1 là giọt nước lọc...",safe,vihsd
Đhs mình k tìm đc bộ tộc mixigaming để tham gia :(((,safe,vihsd
Không anh ơi,safe,vihsd
Doi lên voi xuống chó,safe,vihsd
Không muốn sống nữa,suicide,manual_augmentation
Tộc trưởng said :,safe,vihsd
Xem cái này chỉ muốn ỉa vào mặt mấy thằng cho xây tượng đài...,hate,vihsd
nói nhảm. Nhà tù chỉ dành cho bọn nghèo hoặc Ngu thôi. chứ nó tiền thì có mà ở.,toxic,vihsd
Trái đất lúc này.,safe,vihsd
"Nếu đây là thày giáo thật thì có lẽ cần phải đi khám bác sĩ, đầu óc ông này đang có vấn đề.",hate,vihsd
Dừng lại hay tiếp tục 😌,safe,vihsd
Bánh mì thay đổi giọng giúp nhím hát hay hơn,safe,vihsd
Tiến Dũng cái này thì ko nc nào bằng việt nam rồi 😂😂,safe,vihsd
"Võ Hồng Gấm rồi mấy đó tiếp xúc với thêm nhiều người khác nữa á,nghe mà ớn lạnh,cầu mong cho đừng ai nhiễm nữa,k ở quê làm rần rần riết chị muốn bệnh lun á",safe,vihsd
"Mình đặt nước hoa nhỏ này như nước lã thấy có mấy trăm ngàn nên mình ko làm lớn chuyện!nhắn tin nó chặn luôn,gọi thì nó đổ lỗi các thử!mong công an vào cuộc và quản lý thị trường vào cuộc bán nước hoa đểu",safe,vihsd
"Mẹ. Hởi thằng nào muốn tự tử, cứ làm gì đó cho công an bắt rồi về nhà tự giận ==> thằng ad sẽ có bài tít: CA đánh người; Tại CA mà chết người..... Đúng là thằng ad bệnh quạn",hate,vihsd
Đỏ gì mà ở ngay sát bờ là sao ?,safe,vihsd
0969779003 gọi hằg đêm kiếm ẻm này nha,safe,vihsd
"Cncs là quái thai của nhân loại, nó có sức mạnh không thế lực nào có thể tiêu diệt được, trừ chính nó ! Câu nói của một người nổi tiếng và đã được lịch sử xác định",hate,vihsd
Bê Lol chạy xung quanh.,toxic,vihsd
"Kakaka, khùng khùng quá sức.",toxic,vihsd
Cảm ơn thầy vì tất cả!!!,safe,vihsd
Trần Đặng Thái Sơn tên phim sẽ phải là ĐỊT MẸ Về nhà=)),hate,vihsd
Co thi noi hong ai muong noi nha,safe,vihsd
Mãi yêu cô Minh Hiếu 💛,safe,vihsd
Tao sẽ làm thịt mày,violence,manual_augmentation
"Lỗi ở đây là do biển số xe nhé, nếu không thì lại có bài báo đăng top "" bv có lòng tốt giúp đỡ người già "" :v",safe,vihsd
v cut,toxic,vihsd
Ác quá,safe,vihsd
Vậy nên bầu thằng chó ad này làm đê. Nó giỏi lắm,hate,vihsd
Nguyễn Trọng Hiệp nước mũi hả chú,safe,vihsd
Nhảy lầu cho xong đời đi,suicide,manual_augmentation
Cho đi tù thì lại bảo quá đáng,safe,vihsd
Lãnh Thần ơ duma:>,safe,vihsd
Mấy ông được truyền máu,safe,vihsd
"Ai cho anh mược cục sạc dự phòng đi, dây dợ loằng ngoằng quá",safe,vihsd
Có sợ cô Vy khong gai oi,safe,vihsd
Chúng nó xài đúng luật luật trong tay hay xài luôn luật rừng có trời mới biết -_- !,safe,vihsd
fighting !,safe,vihsd
Tối nay Abe stream kênh nào?,safe,vihsd
Đánh chết mày bây giờ,violence,manual_augmentation
Già mà nói chuyện mất dạy.sau này thế nào củng bị thục lưởi hêt nói chuyện.tiền mà nói như vải chùi l,hate,vihsd
Nguyễn Văn Nam vẽ 1 bức bao nhiêu vậy bạn,safe,vihsd
Cậu Đồng họ đi du lịch.bộ đi du lịch là sai à?,safe,vihsd
Lê Đinh Cường cố tình cà khịa đó bạn. Cuối clip J lấy luôn chiếc Mes,safe,vihsd
đm may tien cho qa mỹ ma giut no cô minh hiếu 100 may truc triệu,hate,vihsd
Thu Hít cố lên nhé! Mà chắc không nổi 1 triệu như K ICM đâu =)),safe,vihsd
:)(,safe,vihsd
Duy Long Đặng ido,safe,vihsd
Game là dễ 😂,safe,vihsd
Răng rứa nhỉ,safe,vihsd
Tú Nguyễn đi văng đâu sai đâu bạn,safe,vihsd
mai ông Hùng King về bẻ cổ chúng nó !,hate,vihsd
Hôm nay bỏ liêm xỉ ra xin 1 like AVATAR ạ !!,safe,vihsd
